,team_name,havoc_count,def_total_epa,havoc_rate_pct
0,Duke,443.0,230.494636338,19.311
1,Indiana,419.0,198.06497424399998,19.203
2,Ohio State,428.0,292.429091424,18.576
3,Ole Miss,437.0,151.978941798,18.533
4,Oregon,401.0,11.284227324,17.42
5,Notre Dame,406.0,385.679905486,17.116
6,Texas,448.0,389.014773452,16.995
7,Virginia Tech,364.0,166.171269910632,16.93
8,SMU,448.0,268.684504632,16.893
9,Penn State,436.0,212.425628882,16.718
10,South Florida,449.0,59.87162695705937,16.63
11,Texas A&M,386.0,70.97628077819203,16.567
12,Louisville,401.0,44.167584928000004,16.543
13,Michigan,363.0,151.066706164,16.5
14,UTSA,402.0,131.1510252459185,16.395
15,Miami,374.0,-60.7252820667881,16.389
16,Texas State,371.0,83.60669374218035,16.344
17,LSU,360.0,-53.40924034,16.29
18,South Carolina,379.0,122.732693506,16.183
19,Nebraska,332.0,93.02920132702394,16.179
20,California,370.0,70.72315395369428,16.157
21,Tennessee,383.0,200.36428125,15.958
22,Boise State,394.0,-6.43517208,15.798
23,Buffalo,340.0,76.912603638,15.683
24,Memphis,343.0,-0.9130930900000013,15.577
25,James Madison,355.0,253.93986844999998,15.475
26,Kansas State,357.0,96.3934645198694,15.468
27,Utah,330.0,240.030243378,15.421
28,Ohio,359.0,149.1220431282414,15.277
29,Pittsburgh,389.0,51.59760980098429,15.231
30,Clemson,388.0,-36.29771068000001,15.156
31,Georgia,360.0,69.140295032,15.139
32,UNLV,390.0,130.391253764,15.105
33,Oklahoma,334.0,232.582250528,14.897
34,East Carolina,379.0,46.02359445961569,14.828
35,Minnesota,290.0,121.402896752,14.676
36,Florida,345.0,56.68858152723258,14.484
37,NC State,324.0,-21.724014670000003,14.374
38,Missouri,296.0,147.281900216,14.369
39,Tulane,337.0,106.7992183354819,14.34
40,Colorado,341.0,126.94926163,14.138
41,Auburn,312.0,96.375691852,14.13
42,Tulsa,311.0,-169.969785678,14.034
43,BYU,311.0,85.482642172,14.009
44,Boston College,312.0,96.03725584199998,13.891
45,Arizona,284.0,-103.90602003264735,13.813
46,Alabama,329.0,228.19693331470353,13.8
47,Kentucky,265.0,66.589234958,13.788
48,Sam Houston,321.0,139.43292741388558,13.765
49,Oklahoma State,307.0,-247.685221624,13.657
50,Iowa,309.0,259.94078804105044,13.636
51,Toledo,342.0,164.836645844,13.571
52,Rutgers,292.0,-147.747688206,13.531
53,Kansas,271.0,-158.73199577,13.496
54,Northern Illinois,290.0,179.54520270400002,13.438
55,Illinois,316.0,-23.459064382000005,13.413
56,UCF,293.0,51.966323322,13.403
57,Miami (OH),328.0,120.9006712,13.344
58,Florida Atlantic,288.0,-42.091167836000004,13.333
59,Cincinnati,268.0,5.41835179653453,13.32
60,UConn,327.0,128.90230383600002,13.314
61,Syracuse,283.0,-126.832335296,13.261
62,Bowling Green,288.0,39.098613863999994,13.247
63,Marshall,327.0,75.13703516000001,13.239
64,Navy,288.0,59.70594550657749,13.163
65,Army,252.0,28.141661019999994,13.152
66,Stanford,274.0,-135.99986087896608,13.123
67,Washington State,315.0,-169.33331964968994,12.995
68,Eastern Michigan,268.0,47.028836729999995,12.984
69,Rice,272.0,33.674358758000004,12.965
70,Utah State,280.0,-144.465616878,12.927
71,UCLA,252.0,-102.88705998474735,12.897
72,Northwestern,253.0,73.52438239008507,12.843
73,Washington,291.0,-12.912211745999988,12.797
74,Fresno State,316.0,105.88101967126917,12.794
75,San Jos̩ State,328.0,41.34215001399999,12.733
76,West Virginia,273.0,-273.06724598799997,12.651
77,Baylor,298.0,-10.519245631437496,12.638
78,Vanderbilt,273.0,-62.921304678,12.5
79,North Texas,293.0,-129.144541196,12.457
80,Georgia Tech,263.0,-73.00766737,12.453
81,Coastal Carolina,295.0,-84.72222003646291,12.437
82,Houston,240.0,158.478920684,12.384
83,Virginia,275.0,-74.98018504800001,12.354
84,Ball State,252.0,-285.589743462,12.329
85,Liberty,246.0,40.875503464000005,12.239
86,Iowa State,290.0,95.34777796601779,12.175
87,Texas Tech,305.0,-197.44572030732286,12.171
88,Old Dominion,279.0,-13.912384217999987,12.088
89,South Alabama,299.0,-10.642065418000003,12.066
90,Louisiana,288.0,-99.60686437909493,11.97
91,Air Force,223.0,-36.12780313684824,11.938
92,Colorado State,285.0,-8.852794673999998,11.925
93,Arkansas State,283.0,-227.6308587106626,11.921
94,Central Michigan,253.0,-9.022463665999995,11.856
95,Maryland,259.0,-87.03536684898688,11.805
96,Florida State,255.0,-61.57427174000001,11.773
97,Troy,236.0,-70.12435068032369,11.637
98,USC,266.0,-6.553459707660563,11.626
99,UL Monroe,251.0,-9.644225864000008,11.535
100,North Carolina,279.0,0.4653761759999988,11.5
101,Purdue,238.0,-219.717705652,11.409
102,TCU,273.0,-13.68648439799999,11.375
103,Arizona State,276.0,-5.641114028000009,11.339
104,Wisconsin,222.0,36.6373285587241,11.303
105,Western Kentucky,269.0,-24.970762900000004,11.116
106,Jacksonville State,291.0,-15.620944695026362,11.09
107,UTEP,251.0,76.362405112,10.999
108,Louisiana Tech,251.0,221.72449435097926,10.999
109,Nevada,250.0,-246.85578898348444,10.965
110,Wake Forest,248.0,-152.776172552,10.935
111,Temple,229.0,-40.35234446600001,10.926
112,Southern Miss,234.0,-187.83554136200001,10.924
113,Georgia State,236.0,-144.901742926,10.876
114,Georgia Southern,257.0,-21.122195294000004,10.871
115,Charlotte,244.0,-116.52497639200001,10.864
116,Western Michigan,240.0,-255.58546994399998,10.743
117,App State,202.0,-200.803106436,10.71
118,San Diego State,233.0,-27.44571177599999,10.668
119,Arkansas,259.0,-0.7375317059999986,10.641
120,Kent State,235.0,-242.037771636,10.595
121,Michigan State,215.0,-79.202077616,10.591
122,Florida International,241.0,80.90433921311639,10.424
123,New Mexico,218.0,-395.856262834,10.332
124,Oregon State,201.0,-202.189173996,10.308
125,Akron,212.0,-20.624907543999996,10.047
126,Massachusetts,190.0,-243.040446566,9.754
127,UAB,222.0,-98.30690397,9.694
128,New Mexico State,208.0,-69.85506322839214,9.585
129,Middle Tennessee,191.0,-254.20290326458746,9.183
130,Mississippi State,189.0,-215.47595879,8.445
