team_id,team_name,batted_passes,forced_fumbles,fumble_recoveries,grades_coverage_defense,grades_defense,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,stops,tackles,tackles_for_loss,total_pressures,touchdowns,yards,yards_after_catch
1,AIR FORCE,7,11,7,59.33548387096774,59.575,61.63870967741936,60.527906976744184,60.532500000000006,21,105,4,114,15,15,42.025000000000006,187,20.0,0,274,498,33.0,146,12,2287,1098
2,AKRON,3,8,6,56.71666666666667,57.81714285714286,59.983333333333334,59.81142857142857,54.10588235294117,26,75,3,173,28,25,75.76857142857143,223,24.0,0,313,588,39.0,125,24,2770,1259
3,ALABAMA,11,13,11,65.86363636363636,69.05641025641025,62.68787878787878,69.82894736842105,66.10810810810811,29,140,17,115,34,38,43.03846153846154,236,30.0,0,373,615,44.0,199,13,2365,1162
7,APP STATE,1,8,8,59.71290322580645,61.5638888888889,62.942857142857136,63.57222222222222,63.096969696969694,17,99,4,117,9,28,66.93055555555556,193,29.0,0,246,492,27.0,145,20,2354,1170
8,ARIZONA,4,14,7,59.27333333333333,60.97647058823529,62.51153846153846,62.071875,55.806666666666665,37,123,8,142,26,42,61.461764705882345,226,23.0,1,274,537,42.0,183,22,2860,1305
9,ARIZONA ST,10,7,6,62.03333333333333,61.58947368421053,59.225,64.17837837837837,61.97272727272727,37,106,16,138,29,38,48.82105263157895,283,24.0,1,309,610,41.0,167,19,3175,1317
11,ARK STATE,5,8,5,60.355555555555554,61.23055555555556,62.595238095238095,59.71388888888888,58.39,33,132,14,160,21,36,42.03055555555555,245,22.0,0,274,600,43.0,187,23,3239,1595
10,ARKANSAS,8,6,5,60.31515151515152,63.089130434782604,63.58571428571429,67.19534883720931,60.29677419354839,36,102,10,125,29,49,42.52608695652174,259,29.0,1,323,612,34.0,167,22,3206,1829
13,ARMY,3,3,1,60.75609756097561,61.77058823529412,60.76578947368421,62.2875,62.656756756756764,38,104,18,120,21,14,45.55294117647058,253,28.0,0,271,538,36.0,170,16,2619,1325
14,AUBURN,3,5,4,61.73030303030303,65.39999999999999,63.231428571428566,66.58125,63.6861111111111,41,149,8,121,29,23,41.16458333333333,199,33.0,0,318,553,40.0,223,12,2556,1213
19,BALL ST,10,7,7,56.87241379310345,56.66470588235294,63.18928571428571,56.06666666666667,57.06060606060606,34,106,8,132,21,28,61.39117647058824,234,24.0,0,244,510,35.0,164,37,3370,1536
20,BAYLOR,7,7,5,57.98285714285714,60.12978723404255,60.11470588235294,62.573913043478264,61.53055555555555,25,136,14,139,31,43,49.06382978723404,238,26.0,0,363,630,47.0,187,22,3037,1502
23,BOISE ST,1,12,8,62.3448275862069,63.59487179487179,65.525,62.02307692307693,59.67272727272727,53,163,7,180,30,30,49.44871794871795,273,65.0,0,347,578,55.0,281,24,3381,1506
24,BOSTON COL,9,12,6,62.83947368421053,65.61818181818181,61.64324324324325,66.4609756097561,66.27222222222223,50,122,17,110,31,23,48.03863636363636,271,28.0,0,294,572,37.0,200,17,3195,1383
25,BOWL GREEN,8,7,3,63.0625,64.48333333333333,64.01875,62.958333333333336,63.515625,28,131,12,122,24,22,58.4361111111111,214,39.0,1,328,548,36.0,198,17,2421,1409
29,BUFFALO,9,10,6,64.34285714285714,64.01428571428572,62.824999999999996,63.96764705882353,63.60322580645161,41,137,13,123,28,24,38.01714285714286,271,38.0,1,334,612,58.0,216,25,3193,1496
18,BYU,12,7,5,61.2675,64.53777777777778,63.33529411764706,65.53720930232558,61.57222222222222,56,120,22,136,26,26,54.48,217,20.0,0,285,548,43.0,196,13,2376,1301
37,C MICHIGAN,4,4,3,60.42962962962962,64.40294117647058,65.72608695652174,64.64999999999999,66.93793103448276,31,93,2,103,23,37,49.30588235294118,197,33.0,0,327,537,60.0,157,17,2356,1037
32,CAL,16,6,2,61.913333333333334,62.944736842105264,63.32647058823529,64.70967741935483,63.864285714285714,40,172,17,120,38,32,47.18684210526315,250,37.0,0,316,575,42.0,249,17,2959,1355
41,CHARLOTTE,11,5,2,60.61470588235294,59.18048780487805,61.11212121212122,59.38536585365854,62.76578947368421,30,90,10,120,30,37,52.19024390243903,208,19.0,0,296,580,47.0,139,18,2686,1394
43,CINCINNATI,3,10,8,63.648387096774194,63.71,60.668,63.489999999999995,63.76060606060606,24,121,5,128,30,21,52.072500000000005,211,22.0,0,271,532,45.0,167,16,2659,1201
45,CLEMSON,13,12,9,60.84634146341463,62.481632653061226,62.3078947368421,63.68723404255319,64.13095238095238,40,160,16,134,41,41,50.04081632653061,265,37.0,0,346,629,60.0,237,22,2988,1489
46,COAST CAR,5,14,9,59.64444444444444,59.69111111111111,60.36875,60.24186046511628,57.40833333333333,36,136,11,157,23,42,52.50888888888889,238,28.0,0,337,634,33.0,200,24,2965,1671
49,COLO STATE,5,14,9,62.341379310344834,64.96875,63.08461538461539,67.15,62.05925925925926,29,125,10,131,34,29,44.803125,262,21.0,0,307,622,38.0,175,20,3051,1413
48,COLORADO,2,13,11,64.28947368421052,63.89777777777778,62.623333333333335,63.62619047619048,64.91621621621621,33,133,15,134,38,58,42.806666666666665,229,40.0,0,363,633,56.0,206,16,2605,1538
183,DOMINION,6,10,6,61.22222222222222,63.52894736842105,59.996874999999996,64.77368421052631,59.502941176470586,31,105,12,170,26,27,62.305263157894736,227,33.0,0,346,615,50.0,169,23,2868,1279
58,DUKE,9,16,13,63.925000000000004,64.45333333333333,64.71142857142857,62.90232558139535,61.01428571428571,61,172,13,146,30,37,44.144444444444446,246,59.0,1,370,645,70.0,292,19,2775,1620
60,E CAROLINA,4,9,7,62.638888888888886,65.09761904761905,62.25555555555555,65.37073170731706,58.48918918918919,47,164,14,169,35,39,57.63333333333333,255,29.0,0,383,666,70.0,240,24,3047,1126
65,E MICHIGAN,9,11,9,58.47631578947368,63.19285714285714,64.73714285714286,66.52857142857142,64.76285714285714,33,111,5,94,18,38,57.83571428571428,197,28.0,0,282,525,44.0,172,22,2656,1317
71,FAU,9,11,7,65.20645161290322,64.85142857142857,64.44137931034483,60.89428571428572,59.641935483870974,26,120,11,137,32,30,54.559999999999995,212,18.0,0,295,566,54.0,164,25,2810,1339
72,FIU,5,7,3,62.234482758620686,63.2764705882353,62.53846153846154,63.28235294117647,65.72727272727273,30,114,11,121,23,21,52.050000000000004,211,18.0,0,324,614,30.0,162,9,2148,1092
69,FLORIDA,8,17,9,59.41162790697674,62.76304347826087,63.18157894736842,66.03695652173913,63.15853658536585,21,156,14,144,30,26,57.78260869565217,243,46.0,0,336,638,44.0,223,18,2945,1685
73,FLORIDA ST,8,2,0,58.93333333333333,60.778,62.28684210526316,61.316326530612244,64.0525,19,122,4,126,20,27,59.626000000000005,203,32.0,0,319,575,48.0,173,16,2406,1314
75,FRESNO ST,7,10,5,62.997058823529414,62.93255813953488,62.012903225806454,63.61666666666667,59.31428571428572,33,139,15,144,38,42,43.25581395348837,255,25.0,0,319,623,44.0,197,21,2812,1245
81,GA SOUTHRN,10,8,5,60.900000000000006,61.97142857142857,61.99666666666667,62.177142857142854,60.91875,27,114,13,136,17,26,60.47142857142857,277,19.0,0,290,614,44.0,160,20,3362,1585
82,GA STATE,11,8,7,57.906451612903226,58.92424242424242,62.3962962962963,60.981818181818184,64.4375,29,102,9,111,25,25,62.618181818181824,204,20.0,0,269,567,25.0,151,22,2480,1339
83,GA TECH,12,7,6,60.2037037037037,61.943243243243245,60.5375,65.2483870967742,57.4,24,109,5,147,25,28,57.63513513513514,253,23.0,0,280,534,52.0,156,24,2845,1480
80,GEORGIA,16,13,10,63.94117647058823,65.49268292682927,63.26176470588236,65.85249999999999,64.38378378378378,33,171,8,121,20,33,48.04634146341463,251,40.0,0,362,623,49.0,244,14,2803,1250
88,HAWAII,3,6,6,61.67741935483871,62.3275,60.12758620689655,62.8078947368421,60.599999999999994,27,109,6,120,31,36,46.8825,238,32.0,0,306,564,42.0,168,18,2519,1273
90,HOUSTON,7,6,5,60.95333333333333,61.54545454545455,61.03333333333334,62.596875,62.329032258064515,28,84,12,124,23,25,47.75757575757576,197,28.0,0,288,519,47.0,140,18,2263,984
95,ILLINOIS,5,13,8,63.384848484848476,65.2875,63.885185185185186,64.37297297297297,68.74838709677418,37,159,12,113,27,22,52.9775,262,30.0,0,275,600,25.0,226,19,2918,1201
98,INDIANA,7,12,9,65.84482758620689,69.685,65.73333333333333,69.02820512820513,64.0,54,188,15,135,32,31,40.7375,248,42.0,0,322,527,60.0,284,11,2280,1102
101,IOWA,12,13,7,65.148,67.703125,66.59545454545454,66.171875,67.35,28,144,16,111,22,16,51.24375,260,33.0,1,302,574,34.0,205,20,2636,1191
102,IOWA STATE,8,7,8,64.28888888888889,62.40816326530612,61.33548387096774,60.28125,60.762162162162156,31,126,15,165,29,17,38.0,196,16.0,1,289,583,50.0,173,18,2318,919
105,JAMES MAD,11,8,10,65.99655172413793,66.86818181818181,64.97,65.61590909090908,63.29705882352941,36,151,17,128,24,27,38.09318181818182,234,47.0,0,331,544,51.0,234,16,2687,1193
104,JVILLE ST,8,11,12,59.06470588235294,60.69230769230769,61.0258064516129,62.723684210526315,65.77222222222223,26,111,12,144,29,48,59.46666666666666,247,25.0,1,364,704,57.0,162,21,3048,1378
106,KANSAS,10,5,4,60.81818181818182,61.630769230769225,61.210344827586205,64.62727272727273,59.93333333333333,39,106,12,126,22,18,63.305128205128206,227,34.0,0,272,533,39.0,179,25,2869,1380
107,KANSAS ST,5,10,5,63.2325,63.54545454545455,61.39032258064516,64.20714285714286,62.12162162162162,56,157,10,143,24,35,46.52272727272727,244,43.0,1,342,570,47.0,256,20,2924,1422
108,KENNESAW,5,11,6,61.15925925925926,62.54358974358974,63.32222222222222,62.8078947368421,63.900000000000006,17,96,4,114,23,22,50.0,241,26.0,1,285,574,33.0,139,21,2818,1146
109,KENT STATE,9,6,5,57.715625,58.067499999999995,61.07,59.995000000000005,60.991428571428564,41,97,4,167,21,30,58.0825,225,18.0,0,308,641,34.0,156,27,3007,1390
110,KENTUCKY,6,9,6,62.753846153846155,64.72340425531915,65.87941176470588,62.96341463414634,60.82702702702702,27,118,10,129,21,22,40.47446808510638,177,25.0,0,269,522,43.0,170,9,2202,1039
123,LA LAFAYET,13,10,5,61.865625,62.30714285714286,59.72121212121212,62.311904761904756,55.90833333333333,38,118,16,184,28,30,48.016666666666666,273,23.0,0,294,646,37.0,179,19,2716,1518
258,LA MONROE,6,13,7,63.15,60.48125,62.648148148148145,58.83125,62.71290322580645,30,102,6,141,26,21,55.33125,191,24.0,1,266,577,37.0,156,15,2187,1162
124,LA TECH,6,9,8,62.142307692307696,60.5918918918919,60.6,61.34054054054054,63.99,32,94,5,136,25,32,32.41621621621622,205,19.0,1,344,595,53.0,145,11,2231,1076
118,LIBERTY,9,7,7,62.900000000000006,62.72790697674419,63.31612903225806,63.278571428571425,61.648648648648646,30,91,8,113,26,30,49.193023255813955,190,24.0,0,321,552,44.0,145,11,2356,1182
125,LOUISVILLE,3,6,6,66.72413793103448,67.26341463414634,66.22592592592592,66.8375,61.63714285714286,37,209,10,144,33,32,49.84146341463415,263,45.0,0,351,608,52.0,291,24,3070,1501
113,LSU,9,14,8,58.7625,61.644444444444446,65.22941176470589,62.85952380952381,65.01428571428572,48,171,6,115,30,27,46.66444444444445,231,39.0,0,296,538,35.0,258,11,2912,1357
128,MARSHALL,10,9,5,66.7,66.5,66.2896551724138,63.863157894736844,68.5,32,130,13,122,38,27,41.758974358974356,220,41.0,0,361,641,49.0,203,15,2592,1162
129,MARYLAND,5,5,7,61.11666666666666,61.44468085106383,61.497058823529414,62.599999999999994,62.53684210526316,44,99,9,124,20,28,51.40212765957447,240,18.0,0,292,557,52.0,161,22,2896,1023
133,MEMPHIS,4,16,14,63.196296296296296,63.49756097560976,61.27407407407408,63.575609756097556,66.20625,33,154,11,120,29,28,35.79512195121951,274,33.0,1,289,521,49.0,220,17,3330,1328
137,MIAMI FL,5,4,3,63.91212121212121,67.16744186046512,66.99142857142857,67.49285714285713,61.09444444444445,48,175,14,112,38,45,45.07674418604651,240,41.0,0,300,511,46.0,264,22,2791,1530
138,MIAMI OH,8,7,8,65.125,64.98648648648648,61.92962962962964,64.81351351351351,64.03529411764706,40,144,13,136,33,32,41.605405405405406,267,31.0,0,318,648,44.0,215,10,2714,905
140,MICH STATE,1,4,2,57.88529411764706,62.56363636363637,61.2060606060606,66.81363636363636,64.97073170731707,33,84,9,101,17,37,47.87954545454546,206,20.0,0,279,518,45.0,137,20,2486,1104
139,MICHIGAN,16,6,5,62.25833333333334,65.83404255319148,65.3891891891892,68.27659574468085,64.78918918918919,44,169,12,99,31,34,38.58723404255319,262,37.0,0,308,537,43.0,250,19,2802,1428
141,MIDDLE TN,2,8,3,58.99090909090909,60.108695652173914,60.57222222222222,61.886842105263156,62.04594594594594,24,64,5,135,26,22,56.03695652173913,229,22.0,0,266,581,37.0,110,27,2991,1554
143,MINNESOTA,16,9,4,61.91034482758621,64.7875,62.08125,66.45384615384614,59.78666666666666,40,114,17,131,24,28,47.832499999999996,220,30.0,0,314,535,36.0,184,11,2289,1125
144,MISS STATE,3,10,4,56.741176470588236,58.9825,57.725,63.885000000000005,60.25833333333334,22,75,7,144,18,32,61.177499999999995,240,13.0,0,294,648,37.0,110,23,2874,1409
146,MISSOURI,9,12,9,61.28055555555555,64.11739130434783,62.65454545454545,64.33863636363637,64.10526315789474,25,138,7,120,23,26,41.91086956521739,198,31.0,0,300,540,42.0,194,14,2350,1283
164,N CAROLINA,7,7,4,61.07037037037038,63.754285714285714,63.744,64.10285714285715,67.23548387096774,32,115,9,124,24,44,50.87714285714286,216,43.0,0,321,588,38.0,190,19,2904,1267
173,N ILLINOIS,10,6,5,63.405882352941184,65.57073170731708,61.593333333333334,66.14615384615384,67.5,35,119,9,89,29,31,45.985365853658536,202,39.0,0,302,521,38.0,193,15,2261,1104
170,N TEXAS,2,3,3,59.435483870967744,61.81142857142857,59.60967741935483,64.63142857142857,61.152941176470584,40,140,11,158,28,30,64.41428571428571,259,26.0,0,351,675,40.0,206,23,3414,1544
155,NAVY,7,14,8,62.254285714285714,64.58947368421053,61.75714285714286,66.61621621621622,66.65277777777777,51,103,17,118,25,33,50.26315789473684,240,30.0,1,328,616,33.0,184,19,2755,1082
154,NC STATE,6,14,10,63.150000000000006,66.48064516129033,63.1448275862069,66.85806451612903,62.81666666666667,41,117,10,122,42,30,53.70322580645161,263,27.0,0,316,566,57.0,185,19,3036,1402
156,NEBRASKA,12,8,6,62.262790697674426,62.76851851851852,64.26052631578948,62.88039215686275,63.63809523809524,54,138,11,121,22,33,47.94814814814814,241,30.0,1,284,520,51.0,222,23,2816,1338
157,NEVADA,7,4,2,61.628571428571426,61.3735294117647,62.211111111111116,59.19117647058823,58.229032258064514,24,116,11,167,30,53,47.6764705882353,212,18.0,0,281,596,38.0,158,13,2570,1210
160,NEW MEX ST,6,2,0,60.052,60.12564102564103,61.364,61.430769230769236,61.36774193548387,19,100,9,131,27,25,48.37435897435897,219,16.0,0,298,578,29.0,135,21,3021,1243
159,NEW MEXICO,4,6,4,57.95161290322581,55.42352941176471,58.992592592592594,60.06666666666667,57.98620689655172,36,83,3,162,31,45,72.23823529411764,256,12.0,0,269,609,39.0,131,30,3350,1513
178,NOTRE DAME,6,13,11,64.65833333333333,67.79302325581395,67.35833333333333,67.56976744186046,68.37317073170732,51,168,19,135,39,43,40.472093023255816,236,53.0,0,400,708,46.0,272,14,2714,1341
176,NWESTERN,10,4,4,63.169999999999995,64.16,65.45384615384616,64.05757575757576,62.4375,29,110,10,130,30,13,46.57714285714286,245,23.0,0,266,538,33.0,162,15,2780,1283
179,OHIO,7,10,8,62.24117647058823,63.86,65.11724137931034,64.47368421052632,63.4361111111111,55,141,11,156,31,27,53.6,264,39.0,1,332,580,57.0,235,16,2959,1350
180,OHIO STATE,17,15,10,65.803125,68.61025641025641,67.8125,70.45833333333333,63.696875,48,173,10,134,33,37,42.58974358974359,268,65.0,0,415,669,57.0,286,10,2678,1460
182,OKLA STATE,5,2,2,59.29722222222222,59.5,61.486666666666665,59.91428571428571,59.118181818181824,44,142,12,162,32,24,57.06153846153846,255,28.0,0,314,619,40.0,214,26,3422,1504
181,OKLAHOMA,7,13,9,61.79736842105264,68.02888888888889,66.67179487179487,69.48095238095237,64.50263157894737,37,144,9,127,19,27,51.61333333333333,216,38.0,1,368,584,58.0,219,17,2637,1154
184,OLE MISS,10,12,9,63.481818181818184,67.49285714285713,65.81481481481481,69.0775,65.50285714285714,38,195,12,96,39,44,39.37619047619047,268,56.0,0,388,605,66.0,289,13,2986,1606
185,OREGON,17,8,5,66.29393939393938,67.33658536585367,64.7290322580645,64.16341463414633,63.28181818181819,31,201,12,104,41,24,46.05609756097561,233,42.0,0,320,560,44.0,274,15,2607,1170
186,OREGON ST,8,5,7,59.377419354838715,58.69142857142857,60.925000000000004,58.47714285714286,62.5060606060606,21,86,5,115,24,30,58.385714285714286,190,9.0,0,226,520,36.0,116,14,2547,1040
187,PENN STATE,10,11,5,64.06857142857143,67.56190476190476,64.81142857142858,68.6609756097561,65.00769230769231,56,181,20,184,33,46,53.87619047619048,285,46.0,0,409,711,74.0,283,18,3086,1711
189,PITTSBURGH,14,8,5,64.89411764705882,65.89302325581396,63.890625,65.06190476190476,66.46571428571428,67,148,13,139,31,36,42.8046511627907,283,41.0,1,369,641,62.0,256,22,3436,1806
195,PURDUE,2,4,1,56.230000000000004,58.95869565217391,63.70384615384615,59.45111111111112,58.34571428571428,27,113,4,140,24,26,49.25,218,24.0,0,277,570,39.0,164,27,3033,1561
197,RICE,3,10,4,64.97419354838709,64.85121951219513,63.32121212121212,64.3138888888889,64.65,40,108,8,109,21,24,52.63170731707317,179,35.0,0,325,537,43.0,183,18,2075,924
201,RUTGERS,13,8,4,59.981249999999996,62.58837209302326,62.833333333333336,62.45581395348837,64.20857142857143,40,138,8,116,31,22,46.64883720930233,256,23.0,2,274,559,27.0,201,18,3004,1740
214,S ALABAMA,7,6,4,63.42258064516129,63.75365853658537,62.234482758620686,65.67073170731707,61.794117647058826,39,119,16,169,33,40,51.35853658536585,279,24.0,0,343,636,51.0,182,18,3234,1502
215,S CAROLINA,7,18,9,62.407500000000006,67.35777777777777,66.17666666666666,66.82619047619048,65.16388888888889,60,154,14,113,29,35,33.766666666666666,230,42.0,0,309,578,46.0,256,10,2660,1241
209,S DIEGO ST,1,4,3,59.800000000000004,61.6125,63.786206896551725,60.3275,58.73823529411764,30,101,7,158,16,35,51.1375,223,38.0,0,320,605,33.0,169,21,2569,979
210,S JOSE ST,5,5,5,62.2375,62.192499999999995,59.25757575757576,63.935135135135134,62.95666666666667,32,135,21,173,30,33,35.542500000000004,269,32.0,0,366,682,63.0,199,16,3028,1284
206,SM HOUSTON,4,9,8,63.403225806451616,63.24411764705883,62.665517241379305,61.166666666666664,60.578787878787885,43,136,16,136,30,23,47.33235294117647,229,31.0,1,312,600,44.0,210,14,2307,1045
203,SMU,12,10,6,64.95263157894736,67.5409090909091,64.384375,67.75348837209303,66.71578947368421,52,214,16,138,35,43,45.74090909090909,276,46.0,2,379,648,57.0,312,24,3151,1602
223,SO MISS,6,3,2,58.48,58.72093023255814,63.478125,59.39069767441861,57.81666666666667,37,94,6,171,24,27,55.17209302325582,210,20.0,0,298,565,42.0,151,24,2604,1390
228,STANFORD,3,10,6,59.266666666666666,61.93939393939394,62.03928571428572,63.215625,62.019999999999996,29,137,9,123,17,27,74.01212121212122,263,27.0,0,254,521,36.0,193,31,3365,1475
233,SYRACUSE,5,7,5,60.7945945945946,62.62826086956522,62.45454545454545,62.840476190476195,62.866666666666674,29,120,11,135,32,36,50.74347826086956,266,32.0,0,288,549,42.0,181,22,2949,1266
234,TCU,7,9,5,66.50294117647059,64.64390243902439,61.53448275862069,64.93684210526315,63.65625,20,125,10,122,29,26,38.665853658536584,231,30.0,0,337,631,38.0,175,14,2418,1189
236,TEMPLE,3,8,4,61.82647058823529,61.72926829268293,62.11290322580645,60.9219512195122,60.597297297297295,31,98,9,125,27,23,47.88780487804878,194,18.0,0,326,582,31.0,147,20,2315,1058
237,TENNESSEE,12,11,9,63.882926829268285,67.2156862745098,64.025,68.02549019607844,67.65217391304348,44,163,12,118,25,52,37.98627450980392,224,33.0,2,347,579,74.0,240,11,2445,1128
240,TEXAS,16,18,9,66.83333333333333,66.57659574468084,65.53333333333333,65.16444444444444,62.785714285714285,52,175,22,166,40,41,33.5404255319149,291,51.0,1,415,723,65.0,278,9,2712,1412
241,TEXAS A&M,21,7,4,61.46774193548387,66.05,64.00277777777778,65.60000000000001,63.06052631578948,38,172,16,149,34,51,35.48,227,26.0,0,314,567,68.0,236,20,3019,1636
243,TEXAS ST,2,16,10,61.400000000000006,64.9093023255814,63.93714285714286,66.35813953488372,63.55365853658536,57,154,9,126,27,47,51.26511627906977,231,41.0,0,345,580,55.0,252,13,2782,1358
244,TEXAS TECH,4,9,8,58.78947368421053,59.40851063829787,62.78857142857142,61.21219512195122,54.791666666666664,45,138,14,184,21,37,47.58723404255319,303,21.0,1,314,632,45.0,204,28,4026,2258
246,TOLEDO,8,11,6,63.54482758620689,64.44186046511628,64.60000000000001,64.2357142857143,62.425,35,142,13,121,35,36,45.68139534883721,244,40.0,0,362,639,52.0,217,16,2690,1057
248,TROY,2,5,2,62.14545454545455,62.46153846153846,61.16428571428571,63.862162162162164,62.06875,31,88,6,140,27,38,52.325641025641026,221,18.0,0,287,534,57.0,137,13,2654,1193
249,TULANE,8,11,7,62.9939393939394,66.22307692307692,66.640625,62.64871794871795,62.518918918918914,41,152,14,134,22,31,54.57179487179488,235,35.0,0,339,592,47.0,228,13,2486,1401
250,TULSA,3,8,6,54.061290322580646,60.65853658536585,64.25151515151515,61.71707317073171,57.52894736842105,45,138,9,166,20,24,68.68048780487806,260,23.0,1,327,591,59.0,206,38,3776,2139
252,UAB,7,5,3,61.699999999999996,59.766666666666666,63.93125,57.91428571428572,60.58717948717949,15,110,8,132,26,43,46.2952380952381,174,20.0,0,286,576,28.0,145,18,2162,991
255,UCF,6,7,3,62.28333333333333,64.30238095238094,62.13703703703704,64.89285714285714,65.1,39,125,9,124,21,37,44.06904761904762,245,25.0,0,316,541,58.0,189,21,2615,1170
256,UCLA,6,7,2,63.175000000000004,61.47647058823529,61.51428571428572,62.04705882352941,65.38461538461539,29,93,10,109,35,46,49.55882352941177,269,30.0,0,251,518,40.0,152,19,2931,1460
257,UCONN,15,7,4,64.79230769230769,63.854285714285716,61.6,63.27428571428571,62.332,38,139,10,143,33,31,48.08571428571429,268,31.0,0,339,611,50.0,208,16,2791,1451
130,UMASS,5,5,3,59.987096774193546,59.95227272727273,61.322857142857146,59.97179487179488,68.10303030303031,30,72,6,99,20,43,41.27727272727273,156,18.0,0,248,509,31.0,120,19,2119,1191
259,UNLV,12,6,7,64.06818181818181,64.75510204081633,64.83928571428571,62.57659574468085,63.542857142857144,37,159,17,147,50,47,41.68163265306123,296,49.0,0,344,621,53.0,245,20,3302,1363
260,USC,9,4,3,64.14358974358974,64.7279069767442,62.52333333333333,62.56666666666667,66.62121212121212,34,129,12,113,21,33,51.65581395348837,296,23.0,0,301,607,31.0,186,15,3028,1730
219,USF,9,14,12,61.26486486486487,62.84468085106383,64.46153846153847,63.48297872340425,63.1425,50,211,12,155,38,57,58.5404255319149,279,33.0,0,363,653,70.0,294,23,3629,1922
266,UTAH,18,6,5,62.28709677419355,64.62647058823529,61.82666666666667,63.4470588235294,57.52121212121212,42,144,12,138,27,28,51.01764705882353,199,25.0,0,292,505,51.0,211,15,2402,1034
267,UTAH ST,2,6,2,61.2,59.661702127659574,61.26111111111111,58.23777777777777,60.8575,55,109,13,165,20,38,49.4595744680851,267,29.0,0,298,624,44.0,193,28,3060,1797
262,UTEP,3,7,6,59.74193548387097,61.34571428571428,62.03448275862069,61.81428571428572,63.49117647058823,22,90,11,133,19,26,58.339999999999996,218,42.0,0,337,591,51.0,154,23,2700,1452
263,UTSA,16,14,10,60.710256410256406,64.28541666666666,67.02631578947368,66.8,60.535000000000004,52,153,11,155,31,55,48.36041666666667,242,48.0,0,375,578,67.0,253,28,3440,1764
275,VA TECH,8,11,9,61.016216216216215,63.16808510638298,64.81212121212121,62.8860465116279,65.5,45,163,15,118,31,31,44.84893617021277,220,39.0,0,327,588,43.0,247,20,2796,1437
271,VANDERBILT,12,7,6,61.50882352941177,62.802702702702696,59.93448275862069,63.61621621621622,59.78125,21,121,10,145,23,32,61.0918918918919,265,29.0,0,287,597,44.0,171,24,3064,1572
273,VIRGINIA,3,6,4,58.568000000000005,59.80540540540541,65.048,61.351351351351354,53.51,34,137,9,146,25,24,51.05675675675676,241,21.0,0,297,567,36.0,192,20,3132,1435
289,W KENTUCKY,5,9,10,59.365625,61.224999999999994,64.76666666666667,62.71666666666667,64.7342857142857,23,126,10,126,16,20,74.36666666666666,195,26.0,1,361,711,44.0,175,18,2465,1354
290,W MICHIGAN,14,7,9,61.017857142857146,62.88125,60.32692307692308,62.809375,61.09655172413793,20,101,8,148,28,26,55.759375,211,19.0,0,267,592,34.0,140,20,2899,1479
285,W VIRGINIA,4,4,6,55.951851851851856,60.166666666666664,61.03846153846154,64.925,64.62333333333333,27,143,5,108,19,29,63.521212121212116,247,23.0,0,296,575,42.0,193,26,3521,1628
279,WAKE,3,7,6,62.425000000000004,62.1425,61.00869565217391,62.95,63.997058823529414,33,106,11,120,16,18,49.917500000000004,320,24.0,0,259,621,42.0,163,23,3334,1538
282,WASH STATE,4,9,5,61.310810810810814,63.57727272727273,60.411764705882355,63.16976744186047,57.99714285714286,39,148,14,173,30,37,62.097727272727276,306,24.0,0,293,606,42.0,211,25,3511,1645
281,WASHINGTON,14,8,6,64.05405405405405,64.9439024390244,62.41935483870968,63.84736842105263,66.04,37,132,8,103,37,45,49.636585365853655,210,21.0,0,284,569,28.0,190,16,2161,1118
294,WISCONSIN,7,4,5,62.975,62.43235294117647,63.58181818181818,61.09117647058823,64.21666666666667,24,111,4,101,26,18,48.68529411764706,202,16.0,0,274,543,25.0,151,12,2132,1043
